N,C Iterative,C Memoization,Rust Iterative,Rust Memoization
1,0.002667,0.002202,0.00199,0.001881
2,0.001758,0.001778,0.001931,0.001934
3,0.001638,0.001596,0.002023,0.002277
4,0.001667,0.001734,0.002781,0.002998
5,0.002042,0.001838,0.00261,0.002415
6,0.001918,0.001867,0.002754,0.002217
7,0.00174,0.001813,0.002499,0.002065
8,0.001934,0.002028,0.002625,0.002036
9,0.001776,0.001982,0.002577,0.002353
10,0.001843,0.002332,0.002335,0.001962
11,0.001896,0.002359,0.002896,0.003212
12,0.002767,0.002044,0.00222,0.002109
13,0.002387,0.001971,0.002238,0.002287
14,0.001837,0.002254,0.002105,0.002417
15,0.002187,0.002011,0.002121,0.002763
16,0.002183,0.002063,0.002202,0.002566
17,0.002217,0.00193,0.002586,0.002056
18,0.002136,0.002083,0.002319,0.001934
19,0.002031,0.002012,0.002483,0.002027
20,0.002028,0.001969,0.001921,0.002688
21,0.003278,0.003202,0.005712,0.00301
22,0.002491,0.00248,0.002341,0.002246
23,0.00247,0.002301,0.002251,0.002212
24,0.001897,0.002306,0.002112,0.002394
25,0.003068,0.002427,0.002854,0.002757
26,0.002274,0.002443,0.00324,0.003095
27,0.002224,0.002088,0.002815,0.002195
28,0.001913,0.002125,0.00222,0.002129
29,0.002335,0.002279,0.002089,0.002346
30,0.001976,0.002236,0.003181,0.002487
31,0.002091,0.002082,0.002432,0.002162
32,0.002144,0.00204,0.002269,0.002389
33,0.002254,0.001889,0.0022,0.002434
34,0.001895,0.001996,0.002256,0.002551
35,0.001863,0.001866,0.002052,0.002181
36,0.00184,0.001763,0.00205,0.002032
37,0.001783,0.001639,0.002091,0.002001
38,0.001864,0.001793,0.001994,0.002082
39,0.001948,0.001911,0.002003,0.002043
40,0.001698,0.002092,0.001872,0.002119
41,0.001888,0.001935,0.002287,0.002362
42,0.001895,0.002484,0.00247,0.002225
43,0.002077,0.001897,0.002057,0.002145
44,0.002221,0.001986,0.002075,0.002212
45,0.001961,0.00172,0.00172,0.002242
46,0.001894,0.00194,0.001855,0.002145
47,0.001774,0.002102,0.002302,0.00256
48,0.00195,0.001886,0.002203,0.002296
49,0.001856,0.00209,0.002545,0.002351
50,0.002037,0.001933,0.002108,0.002199
51,0.002341,0.002213,0.002359,0.002244
52,0.002124,0.001868,0.002197,0.002156
53,0.002289,0.002009,0.005456,0.005833
54,0.004964,0.00628,0.004264,0.004288
55,0.003188,0.002361,0.002323,0.002232
56,0.002027,0.001771,0.002289,0.002017
57,0.001819,0.001878,0.002297,0.002002
58,0.001885,0.001797,0.002414,0.002148
59,0.001802,0.002171,0.00229,0.002078
60,0.001794,0.001878,0.002305,0.002007
61,0.001841,0.001752,0.001858,0.002185
62,0.00173,0.001752,0.001846,0.002202
63,0.001888,0.001856,0.002158,0.002146
64,0.001827,0.002089,0.002217,0.002234
65,0.002042,0.002094,0.00199,0.002191
66,0.001767,0.001806,0.001939,0.002532
67,0.001873,0.001835,0.00201,0.002537
68,0.001954,0.001779,0.002171,0.002555
69,0.001879,0.001756,0.002115,0.002222
70,0.001804,0.001717,0.002339,0.002286
71,0.001792,0.001778,0.002423,0.002288
72,0.001772,0.001774,0.002531,0.00229
73,0.001813,0.001894,0.002224,0.002422
74,0.001922,0.001784,0.002174,0.002236
75,0.001981,0.001694,0.00223,0.002671
76,0.001998,0.002013,0.002452,0.002644
77,0.002105,0.002068,0.002655,0.002217
78,0.001885,0.002075,0.002441,0.002246
79,0.00192,0.002207,0.002553,0.00221
80,0.001901,0.002376,0.002384,0.002296
81,0.002139,0.002023,0.002492,0.002247
82,0.002561,0.002037,0.002239,0.002339
83,0.001988,0.002119,0.002222,0.002237
84,0.001866,0.002287,0.002234,0.002277
85,0.00205,0.002077,0.002226,0.00236
86,0.001945,0.001904,0.002101,0.002399
87,0.001963,0.001741,0.002026,0.002479
88,0.002093,0.001739,0.002132,0.002532
89,0.00209,0.001723,0.002156,0.002245
90,0.001885,0.001803,0.001943,0.002136
91,0.001762,0.001781,0.001883,0.002227
92,0.001907,0.00191,0.002044,0.002042
93,0.001863,0.001851,0.001832,0.002186
94,0.001858,0.001833,0.002124,0.001992
95,0.001882,0.001642,0.002196,0.002094
96,0.0019,0.001674,0.002367,0.002005
97,0.001818,0.001566,0.001975,0.002082
98,0.001542,0.001563,0.001829,0.002135
99,0.001657,0.001508,0.001804,0.001963
100,0.001703,0.001625,0.001797,0.002048
101,0.001784,0.001606,0.001827,0.0019
102,0.0016,0.001725,0.001835,0.001878
103,0.001635,0.00153,0.001976,0.001966
104,0.001634,0.00158,0.001906,0.002054
105,0.001644,0.00172,0.002077,0.002544
106,0.001828,0.001776,0.001914,0.002392
107,0.001807,0.001644,0.00257,0.002748
108,0.001876,0.001786,0.002201,0.002134
109,0.001725,0.001599,0.001887,0.002228
110,0.001697,0.001589,0.001866,0.002004
111,0.001889,0.001726,0.00183,0.002116
112,0.001891,0.001649,0.001853,0.00207
113,0.001961,0.001698,0.001837,0.002006
114,0.001721,0.00177,0.001891,0.002203
115,0.002226,0.001956,0.002225,0.002467
116,0.00195,0.002203,0.002175,0.002621
117,0.001942,0.001849,0.002061,0.00247
118,0.001865,0.001951,0.002293,0.00238
119,0.001986,0.001924,0.00228,0.002355
120,0.002057,0.001755,0.002116,0.002159
121,0.002027,0.001681,0.002069,0.002121
122,0.001814,0.002287,0.002069,0.002224
123,0.001758,0.002005,0.001899,0.002004
124,0.001773,0.001714,0.001821,0.001877
125,0.00166,0.001604,0.00199,0.001932
126,0.001651,0.001567,0.002043,0.002018
127,0.001668,0.001598,0.001837,0.002145
128,0.00168,0.001544,0.001817,0.00207
129,0.001706,0.001681,0.001815,0.00192
130,0.001778,0.001666,0.00183,0.00198
131,0.001754,0.001764,0.001762,0.001879
132,0.001693,0.001719,0.001879,0.001922
133,0.001673,0.001488,0.00195,0.001937
134,0.001526,0.001588,0.002034,0.001959
135,0.001593,0.001512,0.001799,0.002372
136,0.001691,0.001536,0.001797,0.002086
137,0.001753,0.001615,0.001764,0.001917
138,0.001799,0.001616,0.001772,0.001851
139,0.001622,0.001795,0.001862,0.001941
140,0.001635,0.001563,0.001998,0.001937
141,0.001581,0.001566,0.001907,0.002262
142,0.00163,0.001502,0.001846,0.00226
143,0.001736,0.001617,0.002001,0.002163
144,0.001789,0.001553,0.001788,0.001892
145,0.001814,0.001595,0.001843,0.002022
146,0.001579,0.001787,0.002072,0.001982
147,0.001649,0.001708,0.001894,0.001912
148,0.001773,0.002281,0.002938,0.002499
149,0.00238,0.002809,0.002756,0.002235
150,0.002035,0.001869,0.002159,0.002179
151,0.001969,0.001718,0.00201,0.002265
152,0.002312,0.001812,0.002168,0.002412
153,0.002045,0.001782,0.002118,0.002104
154,0.001836,0.001788,0.002004,0.002254
155,0.002008,0.001733,0.002013,0.002327
156,0.001837,0.001715,0.001891,0.002263
157,0.001784,0.001964,0.002071,0.002171
158,0.001855,0.001867,0.00199,0.00219
159,0.001792,0.001882,0.00196,0.002017
160,0.001984,0.001782,0.001984,0.001974
161,0.00162,0.001751,0.002154,0.001984
162,0.001633,0.00168,0.00217,0.002113
163,0.001588,0.001526,0.00192,0.002165
164,0.001818,0.001655,0.001942,0.002365
165,0.001661,0.001558,0.001799,0.002019
166,0.001859,0.001569,0.001772,0.002028
167,0.001771,0.00154,0.00187,0.001866
168,0.001695,0.001762,0.001858,0.001936
169,0.001641,0.001626,0.002032,0.001905
170,0.001564,0.001619,0.00199,0.001972
171,0.00156,0.001499,0.001824,0.002116
