N,C Iterative,C Recursive,C Memoization,Rust Iterative,Rust Recursive,Rust Memoization
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,1,1,0,1,1,1
4,3,3,1,3,3,2
5,6,7,1,6,7,3
6,10,14,4,10,14,4
7,15,26,3,15,26,5
8,21,46,4,21,46,6
9,28,79,5,28,79,7
10,36,133,6,36,133,8
11,45,221,7,45,221,9
12,55,364,7,55,364,10
13,66,596,8,66,596,11
14,78,972,9,78,972,12
15,91,1581,10,91,1581,13
16,105,2567,12,105,2567,14
17,120,4163,13,120,4163,15
18,136,6746,14,136,6746,16
19,153,10926,15,153,10926,17
20,171,17690,16,171,17690,18
21,190,28635,17,190,28635,19
22,210,46345,18,210,46345,20
23,231,75001,19,231,75001,21
24,253,121368,20,253,121368,22
25,276,196392,21,276,196392,23
26,300,317784,22,300,317784,24
27,325,514201,23,325,514201,25
28,351,832011,24,351,832011,26
29,378,1346239,25,378,1346239,27
30,406,2178278,26,406,2178278,28
