N,Iterative,Dynamic Programming,Recursive
1,0.000005,0.000000,0.000000
2,0.000004,0.000002,0.000000
3,0.000005,0.000004,0.000000
4,0.000004,0.000005,0.000000
5,0.000006,0.000007,0.000000
6,0.000004,0.000009,0.000001
7,0.000005,0.000064,0.000001
8,0.000005,0.000013,0.000002
9,0.000004,0.000014,0.000003
10,0.000004,0.000015,0.000006
11,0.000005,0.000016,0.000011
12,0.000005,0.000019,0.000020
13,0.000005,0.000022,0.000037
14,0.000005,0.000022,0.000073
15,0.000005,0.000023,0.000143
16,0.000005,0.000054,0.000293
17,0.000005,0.000061,0.000563
18,0.000005,0.000028,0.001123
19,0.000007,0.000032,0.002267
20,0.000005,0.000032,0.004684
21,0.000005,0.000040,0.009041
22,0.000005,0.000036,0.018198
23,0.000005,0.000039,0.036351
24,0.000006,0.000042,0.072822
25,0.000007,0.000043,0.148924
26,0.000006,0.000045,0.299645
27,0.000007,0.000047,0.614158
28,0.000007,0.000049,1.242600
29,0.000007,0.000051,2.452876
30,0.000007,0.000054,4.983048
31,0.000030,0.000070,9.976027
32,0.000010,0.000076,20.033833
33,0.000010,0.000062,39.969513
34,0.000009,0.000069,-
35,0.000017,0.000079,-
36,0.000011,0.000066,-
37,0.000009,0.000093,-
38,0.000009,0.000070,-
39,0.000015,0.000114,-
40,0.000009,0.000074,-
41,0.000010,0.000073,-
42,0.000010,0.000073,-
43,0.000010,0.000080,-
44,0.000010,0.000086,-
45,0.000011,0.000083,-
46,0.000013,0.000094,-
47,0.000016,0.000115,-
48,0.000011,0.000087,-
49,0.000011,0.000087,-
50,0.000012,0.000084,-
51,0.000013,0.000102,-
52,0.000012,0.000096,-
53,0.000012,0.000096,-
54,0.000013,0.000098,-
55,0.000015,0.000105,-
56,0.000014,0.000104,-
57,0.000021,0.000134,-
58,0.000013,0.000098,-
59,0.000014,0.000111,-
60,0.000013,0.000109,-
61,0.000014,0.000110,-
62,0.000014,0.000112,-
63,0.000015,0.000130,-
64,0.000015,0.000117,-
65,0.000016,0.000168,-
66,0.000017,0.000135,-
67,0.000017,0.000141,-
68,0.000016,0.000151,-
69,0.000016,0.000358,-
70,0.000017,0.000134,-
71,0.000017,0.000133,-
72,0.000017,0.000143,-
73,0.000018,0.000142,-
74,0.000018,0.000137,-
75,0.000019,0.000149,-
76,0.000020,0.000156,-
77,0.000019,0.000146,-
78,0.000020,0.000172,-
79,0.000033,0.000201,-
80,0.000021,0.000147,-
81,0.000032,0.000197,-
