N,Iterative,Dynamic Programming,Recursive
1,0.000002,0.000025,0.000001
2,0.000002,0.000004,0.000001
3,0.000003,0.000005,0.000002
4,0.000004,0.000007,0.000003
5,0.000005,0.000008,0.000007
6,0.000006,0.000009,0.000013
7,0.000007,0.000012,0.000023
8,0.000008,0.000014,0.000046
9,0.000011,0.000018,0.000091
10,0.000011,0.000020,0.000187
11,0.000013,0.000023,0.000368
12,0.000015,0.000026,0.000771
13,0.000017,0.000059,0.001557
14,0.000019,0.000041,0.003262
15,0.000022,0.000038,0.006569
16,0.000024,0.000044,0.012533
17,0.000027,0.000049,0.024854
18,0.000032,0.000060,0.053119
19,0.000035,0.000065,0.110354
20,0.000037,0.000067,0.206586
21,0.000040,0.000110,0.453151
22,0.000159,0.000216,1.204767
23,0.000052,0.000124,1.910096
24,0.000089,0.000255,3.527051
25,0.000060,0.000238,7.023683
26,0.000080,0.000153,13.993749
27,0.000064,0.000344,27.423065
28,0.000104,0.000309,54.427462
29,0.000122,0.000187,-
30,0.000105,0.000179,-
31,0.000106,0.000190,-
32,0.000089,0.000220,-
33,0.000101,0.000208,-
34,0.000101,0.000232,-
35,0.000114,0.000228,-
36,0.000114,0.000248,-
37,0.000122,0.000284,-
38,0.000128,0.000304,-
39,0.000134,0.000283,-
40,0.000139,0.000297,-
41,0.000298,0.000521,-
42,0.000155,0.000329,-
43,0.000170,0.000333,-
44,0.000170,0.000351,-
45,0.000175,0.000385,-
46,0.000207,0.000573,-
47,0.000192,0.000389,-
48,0.000200,0.000432,-
49,0.000212,0.000419,-
50,0.000214,0.000577,-
51,0.000225,0.000511,-
52,0.000239,0.000493,-
53,0.000242,0.000509,-
54,0.000259,0.000561,-
55,0.000263,0.000966,-
56,0.000276,0.001018,-
57,0.000283,0.001001,-
58,0.000316,0.000988,-
59,0.000358,0.001133,-
60,0.000312,0.001033,-
61,0.000328,0.001037,-
62,0.000383,0.001075,-
63,0.000351,0.001112,-
64,0.000373,0.001097,-
65,0.000363,0.001092,-
66,0.000378,0.001130,-
67,0.000389,0.001181,-
68,0.000456,0.001175,-
69,0.000409,0.001714,-
70,0.000422,0.001248,-
71,0.000433,0.001282,-
72,0.000495,0.001257,-
73,0.000545,0.001303,-
74,0.000491,0.001359,-
75,0.000519,0.001407,-
76,0.000527,0.001941,-
77,0.000517,0.001783,-
78,0.000556,0.001439,-
79,0.000541,0.001535,-
80,0.000869,0.001570,-
81,0.000588,0.001527,-
82,0.000618,0.001520,-
83,0.000904,0.001606,-
84,0.000608,0.001607,-
85,0.000626,0.002000,-
86,0.000744,0.001676,-
87,0.000694,0.001735,-
88,0.000726,0.002062,-
89,0.000711,0.001898,-
90,0.000732,0.001977,-
91,0.001016,0.001865,-
92,0.000865,0.001894,-
93,0.001012,0.002487,-
94,0.000986,0.001954,-
95,0.000809,0.002132,-
96,0.000833,0.001987,-
97,0.000929,0.002053,-
98,0.000851,0.002006,-
99,0.000869,0.002598,-
100,0.001096,0.002168,-
101,0.000904,0.002155,-
102,0.001049,0.002634,-
103,0.001174,0.002201,-
104,0.001055,0.002339,-
105,0.001234,0.002296,-
106,0.000991,0.002405,-
107,0.001010,0.002375,-
108,0.001038,0.002472,-
109,0.001049,0.002745,-
110,0.001122,0.002642,-
111,0.001279,0.002612,-
112,0.001249,0.002652,-
113,0.001199,0.002667,-
114,0.001146,0.002628,-
115,0.001218,0.002681,-
116,0.002374,0.002812,-
117,0.001220,0.002905,-
118,0.001228,0.002951,-
119,0.001416,0.002833,-
120,0.001382,0.003222,-
121,0.001867,0.003098,-
122,0.001512,0.003201,-
123,0.001334,0.002899,-
124,0.001435,0.003077,-
125,0.001519,0.003032,-
126,0.001438,0.004199,-
127,0.001457,0.003830,-
128,0.001728,0.003178,-
129,0.001666,0.003175,-
130,0.001483,0.003371,-
131,0.001864,0.003446,-
132,0.001565,0.003313,-
133,0.001647,0.003708,-
134,0.001612,0.003911,-
135,0.001802,0.003367,-
136,0.002559,0.003597,-
137,0.001849,0.003560,-
138,0.001683,0.003709,-
