N,C Time (s),Rust Time (s)
1,0.0048,0.0057
2,0.0025,0.0032
3,0.0043,0.0028
4,0.0053,0.0031
5,0.0039,0.0022
6,0.0029,0.002
7,0.0029,0.0025
8,0.002,0.0024
9,0.0019,0.0022
10,0.0025,0.0019
11,0.002,0.0023
12,0.002,0.0021
13,0.0027,0.002
14,0.0031,0.002
15,0.0029,0.0028
16,0.0024,0.003
17,0.0031,0.0023
18,0.0027,0.0023
19,0.0031,0.0021
20,0.0024,0.002
21,0.0022,0.002
22,0.0021,0.0023
23,0.0022,0.0024
24,0.002,0.0023
25,0.0022,0.003
26,0.0048,0.0034
27,0.0032,0.0035
28,0.0043,0.0047
29,0.0054,0.0064
30,0.0073,0.009
31,0.0112,0.0133
32,0.0164,0.0208
33,0.0249,0.0309
34,0.0389,0.0481
35,0.0652,0.0764
36,0.107,0.1234
37,0.1585,0.196
38,0.2605,0.3154
39,0.4125,0.507
40,0.6709,0.819
41,1.1044,1.3253
42,1.7274,2.1376
43,2.8563,3.456
44,4.6158,5.6062
45,7.3943,9.2071
46,12.0185,14.8947
47,19.5024,DNF
